Address,CaseNumber,CrimeAgainst,Neighborhood,OccurDate,OccurTime,OffenseCategory,OffenseType,OpenDataLat,OpenDataLon,OpenDataX,OpenDataY,ReportDate,OffenseCount
,25-X6023068,Person,Downtown,1/12/2025,0025,Assault Offenses,Simple Assault,,,,,1/12/2025,1
,25-X6023069,Person,Hazelwood,1/12/2025,0136,Assault Offenses,Simple Assault,,,,,1/12/2025,2
,25-X6023215,Person,Cully,1/12/2025,0016,Sex Offenses,Rape,,,,,1/12/2025,1
,25-X6023220,Person,Hazelwood,1/11/2025,1933,Sex Offenses,Rape,,,,,1/11/2025,1
,25-X6023224,Person,Hayhurst,9/4/2024,1005,Sex Offenses,Rape,,,,,1/12/2025,1
,25-X6023234,Person,West Portland Park,1/11/2025,1343,Assault Offenses,Simple Assault,,,,,1/11/2025,2
,25-X6023241,Person,Madison South,1/11/2025,1420,Assault Offenses,Simple Assault,,,,,1/12/2025,1
,25-X6023293,Person,Lents,1/11/2025,1200,Kidnapping/Abduction,Kidnapping/Abduction,,,,,1/11/2025,1
,25-X6023293,Person,Lents,1/11/2025,1200,Sex Offenses,Sodomy,,,,,1/11/2025,1
,25-X6023293,Property,Lents,1/11/2025,1200,Robbery,Robbery,,,,,1/11/2025,1
,25-X6023300,Person,Multnomah,1/12/2025,1217,Assault Offenses,Simple Assault,,,,,1/12/2025,1
,25-X6023323,Person,Hazelwood,1/6/2025,1451,Kidnapping/Abduction,Kidnapping/Abduction,,,,,1/6/2025,2
,25-X6023431,Person,Arbor Lodge,1/12/2025,1102,Assault Offenses,Aggravated Assault,,,,,1/12/2025,2
,25-X6023439,Person,Montavilla,1/12/2025,0112,Assault Offenses,Intimidation,,,,,1/12/2025,1
,25-X6023469,Person,Mt Scott-Arleta,1/13/2025,0933,Assault Offenses,Simple Assault,,,,,1/13/2025,1
,25-X6023470,Person,Hazelwood,1/13/2025,1548,Homicide Offenses,Murder and Non-negligent Manslaughter,,,,,1/13/2025,1
,25-X6023470,Property,Hazelwood,1/13/2025,1548,Robbery,Robbery,,,,,1/13/2025,1
,25-X6023473,Person,St Johns,1/12/2025,1500,Assault Offenses,Simple Assault,,,,,1/12/2025,2
,25-X6023525,Person,Woodlawn,1/12/2025,2026,Assault Offenses,Simple Assault,,,,,1/12/2025,1
,25-X6023543,Person,Humboldt,1/13/2025,0226,Assault Offenses,Simple Assault,,,,,1/13/2025,2
,25-X6023566,Person,Humboldt,1/13/2025,0329,Assault Offenses,Simple Assault,,,,,1/13/2025,1
,25-X6023856,Person,Brentwood-Darlington,1/13/2025,0912,Assault Offenses,Simple Assault,,,,,1/13/2025,2
,25-X6023944,Property,Pearl,1/7/2025,1625,Larceny Offenses,Theft From Motor Vehicle,,,,,1/7/2025,1
,25-X6024354,Person,Northwest,1/13/2025,2049,Assault Offenses,Simple Assault,,,,,1/13/2025,1
,25-X6024354,Property,Northwest,1/13/2025,2049,Burglary,Burglary,,,,,1/13/2025,1
,25-X6024356,Person,Kerns,1/13/2025,2330,Assault Offenses,Simple Assault,,,,,1/13/2025,2
,25-X6024359,Person,Argay,1/11/2025,2151,Assault Offenses,Simple Assault,,,,,1/11/2025,1
,25-X6024433,Person,Hazelwood,1/1/2025,0000,Sex Offenses,Fondling,,,,,1/14/2025,1
,25-X6024442,Person,North Tabor,8/19/2022,0900,Sex Offenses,Fondling,,,,,1/14/2025,1
,25-X6024448,Person,Eliot,1/14/2025,0823,Assault Offenses,Simple Assault,,,,,1/14/2025,1
,25-X6024596,Person,Richmond,1/13/2025,0923,Assault Offenses,Intimidation,,,,,1/13/2025,1
,25-X6024657,Person,Kerns,6/14/2023,1400,Sex Offenses,Statutory Rape,,,,,1/14/2025,1
,25-X6024660,Person,Reed,1/14/2025,1710,Assault Offenses,Simple Assault,,,,,1/14/2025,1
,25-X6024666,Person,Cully,1/14/2025,2303,Assault Offenses,Intimidation,,,,,1/14/2025,1
,25-X6024745,Person,Downtown,1/14/2025,1331,Assault Offenses,Simple Assault,,,,,1/14/2025,1
,25-X6024747,Person,Northwest,1/14/2025,1539,Assault Offenses,Aggravated Assault,,,,,1/14/2025,1
,25-X6024767,Person,Buckman East,1/9/2025,0009,Sex Offenses,Fondling,,,,,1/9/2025,1
,25-X6024795,Person,Creston-Kenilworth,1/13/2025,2117,Assault Offenses,Intimidation,,,,,1/13/2025,1
,25-X6024814,Person,Eliot,1/14/2025,0333,Assault Offenses,Simple Assault,,,,,1/14/2025,1
,25-X6024817,Person,Reed,1/14/2025,1730,Assault Offenses,Simple Assault,,,,,1/14/2025,1
,25-X6024817,Property,Reed,1/14/2025,1730,Vandalism,Vandalism,,,,,1/14/2025,1
,25-X6024820,Person,Sellwood-Moreland,1/14/2025,2125,Assault Offenses,Aggravated Assault,,,,,1/14/2025,1
,25-X6024820,Property,Sellwood-Moreland,1/14/2025,2125,Vandalism,Vandalism,,,,,1/14/2025,1
,25-X6024823,Person,Centennial,1/15/2025,0740,Assault Offenses,Simple Assault,,,,,1/15/2025,1
,25-X6024981,Person,Montavilla,1/15/2025,2215,Assault Offenses,Aggravated Assault,,,,,1/16/2025,2
,25-X6024981,Society,Montavilla,1/15/2025,2215,Weapon Law Violations,Weapons Law Violations,,,,,1/16/2025,1
,25-X6024986,Person,Kerns,1/15/2025,1844,Assault Offenses,Simple Assault,,,,,1/15/2025,1
,25-X6024986,Property,Kerns,1/15/2025,1844,Vandalism,Vandalism,,,,,1/15/2025,1
,25-X6024991,Person,Cully,1/15/2025,2256,Assault Offenses,Aggravated Assault,,,,,1/15/2025,1
,25-X6024995,Person,Cully,1/14/2025,2000,Assault Offenses,Aggravated Assault,,,,,1/15/2025,1
,25-X6024996,Person,Reed,1/16/2025,0316,Assault Offenses,Aggravated Assault,,,,,1/16/2025,1
,25-X6025010,Person,Mill Park,1/16/2025,0001,Assault Offenses,Simple Assault,,,,,1/16/2025,2
,25-X6025032,Person,Argay,1/16/2025,0631,Assault Offenses,Simple Assault,,,,,1/16/2025,1
,25-X6025036,Person,Ashcreek,1/15/2025,2306,Assault Offenses,Simple Assault,,,,,1/15/2025,1
,25-X6025239,Person,Parkrose,1/16/2025,0055,Assault Offenses,Simple Assault,,,,,1/16/2025,1
,25-X6025255,Person,Homestead,1/12/2025,2030,Assault Offenses,Simple Assault,,,,,1/13/2025,1
,25-X6025255,Property,Homestead,1/12/2025,2030,Burglary,Burglary,,,,,1/13/2025,1
,25-X6025715,Person,Montavilla,1/16/2025,1427,Assault Offenses,Aggravated Assault,,,,,1/16/2025,1
,25-X6025815,Property,Lloyd,1/13/2025,1930,Larceny Offenses,Theft From Motor Vehicle,,,,,1/15/2025,1
,25-X6025831,Person,King,1/16/2025,1119,Assault Offenses,Aggravated Assault,,,,,1/16/2025,1
,25-X6025839,Person,St Johns,1/15/2025,1202,Assault Offenses,Simple Assault,,,,,1/15/2025,1
,25-X6025841,Person,Montavilla,10/19/2024,0000,Human Trafficking Offenses,Commercial Sex Acts,,,,,1/15/2025,1
,25-X6025850,Property,Northwest,1/13/2025,1210,Counterfeiting/Forgery,Counterfeiting/Forgery,,,,,1/13/2025,1
,25-X6025850,Property,Northwest,1/13/2025,1210,Larceny Offenses,Theft From Building,,,,,1/13/2025,1
,25-X6025862,Person,Montavilla,1/17/2025,0001,Assault Offenses,Simple Assault,,,,,1/17/2025,1
,25-X6025899,Person,Mt Tabor,1/17/2025,0205,Assault Offenses,Aggravated Assault,,,,,1/17/2025,1
,25-X6025902,Person,Powellhurst-Gilbert,1/17/2025,0203,Assault Offenses,Simple Assault,,,,,1/17/2025,2
,25-X6025907,Person,Hillsdale,1/16/2025,1754,Assault Offenses,Simple Assault,,,,,1/16/2025,2
,25-X6025909,Property,Lents,1/16/2025,1730,Vandalism,Vandalism,,,,,1/16/2025,1
,25-X6025910,Person,Cathedral Park,1/16/2025,1332,Assault Offenses,Intimidation,,,,,1/16/2025,1
,25-X6025916,Society,Parkrose Heights,1/14/2025,1113,Pornography/Obscene Material,Pornography/Obscene Material,,,,,1/14/2025,1
,25-X6025957,Person,Kenton,1/16/2025,1737,Assault Offenses,Simple Assault,,,,,1/16/2025,1
,25-X6025961,Person,Piedmont,1/13/2025,0000,Assault Offenses,Simple Assault,,,,,1/16/2025,1
,25-X6025963,Person,East Columbia,1/17/2025,0754,Assault Offenses,Simple Assault,,,,,1/17/2025,1
,25-X6025965,Person,Powellhurst-Gilbert,1/17/2025,0819,Assault Offenses,Simple Assault,,,,,1/17/2025,2
,25-X6025981,Person,Lents,1/17/2025,1437,Assault Offenses,Aggravated Assault,,,,,1/17/2025,1
,25-X6026010,Person,Centennial,1/17/2025,1342,Assault Offenses,Simple Assault,,,,,1/17/2025,1
,25-X6026066,Person,St Johns,1/18/2025,0443,Assault Offenses,Aggravated Assault,,,,,1/18/2025,1
,25-X6026088,Person,Goose Hollow,1/18/2025,1102,Assault Offenses,Simple Assault,,,,,1/18/2025,1
,25-X6026091,Person,Boise,1/17/2025,1658,Assault Offenses,Simple Assault,,,,,1/17/2025,1
,25-X6026091,Property,Boise,1/17/2025,1658,Vandalism,Vandalism,,,,,1/17/2025,1
,25-X6026099,Person,St Johns,1/17/2025,1400,Assault Offenses,Aggravated Assault,,,,,1/17/2025,1
,25-X6026100,Person,South Tabor,1/17/2025,2053,Assault Offenses,Simple Assault,,,,,1/17/2025,1
,25-X6026100,Society,South Tabor,1/17/2025,2053,Drug/Narcotic Offenses,Drug/Narcotic Violations,,,,,1/17/2025,1
,25-X6026101,Person,Hazelwood,1/18/2025,0959,Assault Offenses,Intimidation,,,,,1/18/2025,1
,25-X6026105,Person,Centennial,1/16/2025,2006,Assault Offenses,Simple Assault,,,,,1/16/2025,1
,25-X6026106,Person,Glenfair,1/17/2025,2304,Assault Offenses,Aggravated Assault,,,,,1/18/2025,1
,25-X6026114,Person,Hazelwood,1/18/2025,1350,Assault Offenses,Simple Assault,,,,,1/18/2025,1
,25-X6026122,Person,Hazelwood,1/18/2025,1050,Assault Offenses,Simple Assault,,,,,1/18/2025,2
,25-X6026122,Property,Hazelwood,1/18/2025,1050,Vandalism,Vandalism,,,,,1/18/2025,1
,25-X6026127,Person,Mt Scott-Arleta,1/18/2025,1135,Assault Offenses,Simple Assault,,,,,1/18/2025,1
,25-X6026195,Person,Eliot,1/18/2025,1912,Assault Offenses,Simple Assault,,,,,1/18/2025,2
,25-X6026197,Person,Kerns,1/18/2025,1932,Assault Offenses,Aggravated Assault,,,,,1/18/2025,1
,25-X6026198,Person,Sellwood-Moreland,1/18/2025,2150,Assault Offenses,Aggravated Assault,,,,,1/18/2025,1
,25-X6026201,Person,Lloyd,1/19/2025,0025,Assault Offenses,Simple Assault,,,,,1/19/2025,1
,25-X6026229,Person,Hazelwood,1/18/2025,1628,Assault Offenses,Simple Assault,,,,,1/18/2025,1
,25-X6026242,Person,Old Town/Chinatown,1/18/2025,1946,Sex Offenses,Rape,,,,,1/18/2025,1
,25-X6026281,Property,Lents,1/19/2025,1220,Vandalism,Vandalism,,,,,1/19/2025,1
,25-X6026489,Person,Centennial,1/19/2025,1234,Assault Offenses,Simple Assault,,,,,1/19/2025,1
,25-X6026493,Person,South Tabor,1/19/2025,2005,Assault Offenses,Simple Assault,,,,,1/19/2025,1
,25-X6026495,Person,Kenton,1/20/2025,0053,Assault Offenses,Aggravated Assault,,,,,1/20/2025,1
,25-X6026509,Person,Kenton,1/19/2025,0849,Assault Offenses,Aggravated Assault,,,,,1/19/2025,1
,25-X6026519,Person,Brentwood-Darlington,1/19/2025,2246,Assault Offenses,Aggravated Assault,,,,,1/19/2025,1
,25-X6026577,Person,Parkrose,1/19/2025,2300,Sex Offenses,Rape,,,,,1/19/2025,1
,25-X6026577,Property,Parkrose,1/19/2025,2300,Larceny Offenses,All Other Larceny,,,,,1/19/2025,1
,25-X6026584,Person,Brentwood-Darlington,1/20/2025,1300,Assault Offenses,Aggravated Assault,,,,,1/20/2025,2
,25-X6026587,Person,Kenton,1/20/2025,1252,Assault Offenses,Simple Assault,,,,,1/20/2025,2
,25-X6026623,Person,Arbor Lodge,1/19/2025,2053,Assault Offenses,Simple Assault,,,,,1/19/2025,1
,25-X6026630,Property,Rose City Park,1/18/2025,1400,Burglary,Burglary,,,,,1/20/2025,1
,25-X6026672,Person,Eliot,1/20/2025,0434,Sex Offenses,Rape,,,,,1/20/2025,1
,25-X6026716,Person,Portsmouth,1/20/2025,0857,Assault Offenses,Simple Assault,,,,,1/20/2025,1
,25-X6026740,Person,University Park,1/20/2025,1529,Assault Offenses,Simple Assault,,,,,1/20/2025,3
,25-X6026819,Person,Goose Hollow,1/21/2025,0147,Assault Offenses,Simple Assault,,,,,1/21/2025,1
,25-X6026965,Property,Lloyd,1/16/2025,1730,Larceny Offenses,Theft From Motor Vehicle,,,,,1/16/2025,1
,25-X6027121,Property,King,1/19/2025,0200,Vandalism,Vandalism,,,,,1/19/2025,1
,25-X6027289,Person,Lloyd,1/21/2025,1203,Assault Offenses,Simple Assault,,,,,1/21/2025,1
,25-X6027303,Person,Old Town/Chinatown,1/17/2025,0400,Sex Offenses,Fondling,,,,,1/20/2025,1
,25-X6027427,Person,Hosford-Abernethy,1/21/2025,2134,Assault Offenses,Simple Assault,,,,,1/21/2025,1
,25-X6027457,Property,Rose City Park,1/22/2025,0330,Vandalism,Vandalism,,,,,1/22/2025,1
,25-X6027516,Person,Hazelwood,1/21/2025,0303,Assault Offenses,Aggravated Assault,,,,,1/21/2025,1
,25-X6027516,Person,Hazelwood,1/21/2025,0303,Sex Offenses,Statutory Rape,,,,,1/21/2025,1
,25-X6027568,Person,Concordia,1/20/2025,0603,Sex Offenses,Fondling,,,,,1/20/2025,1
,25-X6027569,Person,Woodstock,1/21/2025,1016,Sex Offenses,Fondling,,,,,1/21/2025,1
,25-X6027571,Person,St Johns,1/21/2025,1153,Assault Offenses,Aggravated Assault,,,,,1/21/2025,1
,25-X6027601,Person,Portsmouth,10/14/2024,0001,Assault Offenses,Simple Assault,,,,,1/22/2025,1
,25-X6027609,Person,Hazelwood,1/6/2025,1949,Assault Offenses,Simple Assault,,,,,1/6/2025,2
,25-X6027614,Property,King,1/12/2025,1711,Larceny Offenses,All Other Larceny,,,,,1/12/2025,1
,25-X6027647,Person,Woodlawn,1/21/2025,2238,Assault Offenses,Simple Assault,,,,,1/21/2025,1
,25-X6027671,Person,Hazelwood,1/22/2025,0046,Assault Offenses,Simple Assault,,,,,1/22/2025,1
,25-X6027674,Person,Cully,1/22/2025,0206,Assault Offenses,Simple Assault,,,,,1/22/2025,1
,25-X6027906,Person,Madison South,1/22/2025,2022,Assault Offenses,Simple Assault,,,,,1/22/2025,1
,25-X6027919,Person,Northwest,1/22/2025,1936,Assault Offenses,Simple Assault,,,,,1/22/2025,1
,25-X6027959,Property,Other,1/22/2025,1237,Vandalism,Vandalism,,,,,1/22/2025,1
